symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SPY,2001-12-13 00:00:00+00:00,112.059998,113.699997,112.040001,113.449997,19026700,77.1038428506,78.2322582301,77.0900837432,78.0602435857,19026700,0.0,1.0
SPY,2001-12-14 00:00:00+00:00,113.129997,113.489998,112.0,112.330002,16721900,77.8400648408,78.0877666168,77.062560712,77.2896214188,16721900,0.0,1.0
SPY,2001-12-17 00:00:00+00:00,114.300003,114.360001,112.900002,112.989998,13925900,78.6450975051,78.6863796437,77.6818148082,77.7437373279,13925900,0.0,1.0
SPY,2001-12-18 00:00:00+00:00,114.980003,115.150002,114.339996,114.629997,13663700,79.112977338,79.2299466082,78.6726150318,78.8721527074,13663700,0.0,1.0
SPY,2001-12-19 00:00:00+00:00,115.790001,115.919998,114.0,114.089996,20143400,79.6703034099,79.7597489608,78.4386778676,78.5006003874,20143400,0.0,1.0
SPY,2001-12-20 00:00:00+00:00,114.650002,115.800003,114.550003,115.5,14867900,78.8859173193,79.6771853718,78.8171121496,79.4707657343,14867900,0.0,1.0
SPY,2001-12-21 00:00:00+00:00,114.949997,115.07,114.199997,115.029999,14037700,79.3625802199,79.4454314419,78.844773028,79.4178143679,14037700,0.39277,1.0
SPY,2001-12-24 00:00:00+00:00,114.730003,115.040001,114.610001,114.830002,5728800,79.2106942527,79.4247198446,79.1278437212,79.2797345213,5728800,0.0,1.0
SPY,2001-12-26 00:00:00+00:00,115.360001,116.209999,114.650002,114.650002,10304800,79.6456509132,80.2324976833,79.1554607952,79.1554607952,10304800,0.0,1.0
SPY,2001-12-27 00:00:00+00:00,116.059998,116.080002,115.25,115.300003,9407300,80.1289355545,80.1427465079,79.569705168,79.6042277187,9407300,0.0,1.0
SPY,2001-12-28 00:00:00+00:00,116.0,116.75,115.919998,116.290001,10593800,80.0875123599,80.6053195519,80.032278212,80.2877318312,10593800,0.0,1.0
SPY,2001-12-31 00:00:00+00:00,114.300003,116.389999,114.230003,116.150002,14619500,78.9138181293,80.3567714094,78.8654894581,80.1910751792,14619500,0.0,1.0
SPY,2002-01-02 00:00:00+00:00,115.529999,115.75,113.809998,115.110001,18651900,79.7630191626,79.9149099626,78.5755139785,79.4730485159,18651900,0.0,1.0
SPY,2002-01-03 00:00:00+00:00,116.839996,116.949997,115.540001,115.650002,15743000,80.6674536533,80.7433993986,79.7699246393,79.8458703845,15743000,0.0,1.0
SPY,2002-01-04 00:00:00+00:00,117.620003,117.980003,116.550003,117.169998,20140700,81.2059779659,81.454525418,80.4672397053,80.8952901986,20140700,0.0,1.0
SPY,2002-01-07 00:00:00+00:00,116.790001,117.989998,116.559998,117.699997,13106500,80.6329366259,81.4614260618,80.4741403491,81.2612065905,13106500,0.0,1.0
SPY,2002-01-08 00:00:00+00:00,116.519997,117.059998,115.970001,116.790001,12683700,80.4465232752,80.8193451438,80.0668007627,80.6329366259,12683700,0.0,1.0
SPY,2002-01-09 00:00:00+00:00,115.57,117.779999,115.339996,116.68,16610300,79.7906362365,81.3164407385,79.6318392694,80.5569908807,16610300,0.0,1.0
SPY,2002-01-10 00:00:00+00:00,116.080002,116.349998,115.300003,115.690002,12823400,80.1427465079,80.3291543354,79.6042277187,79.8734867681,12823400,0.0,1.0
SPY,2002-01-11 00:00:00+00:00,114.940002,116.279999,114.699997,116.209999,13708400,79.3556795761,80.2808263545,79.1899778226,80.2324976833,13708400,0.0,1.0
SPY,2002-01-14 00:00:00+00:00,114.220001,114.839996,113.959999,114.650002,12301100,78.8585839814,79.2866344747,78.6790761073,79.1554607952,12301100,0.0,1.0
SPY,2002-01-15 00:00:00+00:00,115.150002,115.389999,113.900002,114.550003,20219900,79.5006655898,79.6663618201,78.6376536032,79.0864205267,20219900,0.0,1.0
SPY,2002-01-16 00:00:00+00:00,112.82,114.400002,112.690002,114.300003,17067000,77.8920098659,78.9828583979,77.8022580001,78.9138181293,17067000,0.0,1.0
SPY,2002-01-17 00:00:00+00:00,113.669998,114.239998,113.400002,113.760002,17283400,78.478856636,78.8723901019,78.2924488086,78.5409962607,17283400,0.0,1.0
SPY,2002-01-18 00:00:00+00:00,113.150002,113.849998,112.669998,113.0,17028000,78.1198464112,78.6031303621,77.7884470467,78.016283592,17028000,0.0,1.0
SPY,2002-01-22 00:00:00+00:00,112.370003,113.93,112.019997,113.75,11689300,77.581327622,78.6583645101,77.3396801233,78.534090784,11689300,0.0,1.0
SPY,2002-01-23 00:00:00+00:00,113.230003,113.550003,112.019997,112.629997,12438900,78.1750798688,78.3960109374,77.3396801233,77.7608299727,12438900,0.0,1.0
SPY,2002-01-24 00:00:00+00:00,113.580002,114.25,113.32,113.639999,12142800,78.4167225346,78.8792955786,78.2372146606,78.4581450388,12142800,0.0,1.0
SPY,2002-01-25 00:00:00+00:00,113.550003,114.18,113.040001,113.120003,12810700,78.3960109374,78.8309669074,78.043900666,78.099134814,12810700,0.0,1.0
SPY,2002-01-28 00:00:00+00:00,113.860001,114.190002,112.919998,113.900002,10589200,78.6100365292,78.8378723841,77.961049444,78.6376536032,10589200,0.0,1.0
SPY,2002-01-29 00:00:00+00:00,110.279999,114.129997,110.050003,113.849998,27720800,76.1383688187,78.7964443567,75.9795773748,78.6031303621,27720800,0.0,1.0
SPY,2002-01-30 00:00:00+00:00,111.870003,113.389999,108.400002,110.389999,34711800,77.2361228273,78.2855426414,74.840400862,76.2143138735,34711800,0.0,1.0
SPY,2002-01-31 00:00:00+00:00,113.18,113.300003,111.620003,112.150002,19909200,78.1405573181,78.22340854,77.06352043,77.4294368219,19909200,0.0,1.0
SPY,2002-02-01 00:00:00+00:00,112.650002,113.300003,112.169998,113.089996,15838500,77.7746416166,78.22340854,77.4432422521,78.0784176934,15838500,0.0,1.0
SPY,2002-02-04 00:00:00+00:00,109.849998,112.230003,109.440002,112.230003,24243400,75.8414920049,77.4846702795,75.5584268349,77.4846702795,24243400,0.0,1.0
SPY,2002-02-05 00:00:00+00:00,109.169998,110.489998,108.529999,109.400002,33614000,75.3720134841,76.283354142,74.9301520374,75.5308104513,33614000,0.0,1.0
SPY,2002-02-06 00:00:00+00:00,108.699997,109.739998,108.059998,109.650002,29486000,75.0475202867,75.76554695,74.60565884,75.7034128486,29486000,0.0,1.0
SPY,2002-02-07 00:00:00+00:00,108.019997,109.860001,108.0,108.720001,23445400,74.578041766,75.848398172,74.5642356455,75.0613312402,23445400,0.0,1.0
SPY,2002-02-08 00:00:00+00:00,110.089996,110.75,108.300003,108.629997,19277800,76.0071889255,76.4628620161,74.7713605935,74.9991916155,19277800,0.0,1.0
SPY,2002-02-11 00:00:00+00:00,111.440002,111.639999,109.82,110.050003,18792400,76.9392460135,77.0773258601,75.820781098,75.9795773748,18792400,0.0,1.0
SPY,2002-02-12 00:00:00+00:00,111.089996,111.709999,110.029999,110.959999,13942500,76.6975985148,77.1256545314,75.9657664214,76.6078473394,13942500,0.0,1.0
SPY,2002-02-13 00:00:00+00:00,112.269997,112.540001,111.349998,111.480003,16781100,77.5122825206,77.6986958713,76.8771063888,76.9668630875,16781100,0.0,1.0
SPY,2002-02-14 00:00:00+00:00,112.059998,112.970001,111.589996,112.510002,20453800,77.3672971972,77.9955719947,77.0428033094,77.6779842741,20453800,0.0,1.0
SPY,2002-02-15 00:00:00+00:00,110.889999,112.239998,110.709999,112.150002,18366800,76.5595186682,77.4915709233,76.4352449421,77.4294368219,18366800,0.0,1.0
SPY,2002-02-19 00:00:00+00:00,108.760002,110.290001,108.610001,110.150002,15988100,75.0889483142,76.1452742954,74.9853861853,76.0486176433,15988100,0.0,1.0
SPY,2002-02-20 00:00:00+00:00,110.589996,110.589996,107.82,109.050003,29242800,76.3523937201,76.3523937201,74.4399619194,75.2891677855,29242800,0.0,1.0
SPY,2002-02-21 00:00:00+00:00,108.300003,110.629997,108.260002,109.93,26288600,74.7713605935,76.3800107941,74.7437435195,75.8967261528,26288600,0.0,1.0
SPY,2002-02-22 00:00:00+00:00,109.639999,109.940002,107.870003,108.349998,26572900,75.6965066815,75.9036316295,74.4744844701,74.8058776209,26572900,0.0,1.0
SPY,2002-02-25 00:00:00+00:00,111.449997,111.809998,109.699997,109.739998,17458700,76.9461466574,77.1946947999,75.7379298761,75.76554695,17458700,0.0,1.0
SPY,2002-02-26 00:00:00+00:00,111.220001,112.040001,110.57,111.599998,22346500,76.7873552134,77.3534910767,76.33858829,77.0497087862,22346500,0.0,1.0
SPY,2002-02-27 00:00:00+00:00,111.650002,112.860001,110.650002,111.959999,28597900,77.0842320273,77.9196269399,76.393822438,77.2982569287,28597900,0.0,1.0
SPY,2002-02-28 00:00:00+00:00,111.150002,112.75,111.029999,111.830002,23755400,76.7390272326,77.8436811947,76.6561760107,77.2085057533,23755400,0.0,1.0
SPY,2002-03-01 00:00:00+00:00,113.739998,113.849998,111.510002,111.720001,26273600,78.5271853073,78.6031303621,76.9875746848,77.1325600081,26273600,0.0,1.0
SPY,2002-03-04 00:00:00+00:00,115.75,115.989998,113.650002,113.900002,27184600,79.9149099626,80.0806068832,78.4650512059,78.6376536032,27184600,0.0,1.0
SPY,2002-03-05 00:00:00+00:00,115.379997,116.400002,114.970001,115.330002,22718900,79.6594563433,80.3636775765,79.3763911734,79.6249393159,22718900,0.0,1.0
SPY,2002-03-06 00:00:00+00:00,116.75,117.150002,115.07,115.099998,20143200,80.6053195519,80.8814847685,79.4454314419,79.4661423487,20143200,0.0,1.0
SPY,2002-03-07 00:00:00+00:00,116.5,117.5,115.57,117.360001,19330800,80.4327171546,81.1231267439,79.7906362365,81.0264700918,19330800,0.0,1.0
SPY,2002-03-08 00:00:00+00:00,116.989998,117.900002,116.480003,117.379997,19930100,80.7710164725,81.3992919604,80.418911034,81.040275522,19930100,0.0,1.0
SPY,2002-03-11 00:00:00+00:00,117.239998,117.900002,116.43,116.889999,15621800,80.9436188699,81.3992919604,80.3843884833,80.701976204,15621800,0.0,1.0
SPY,2002-03-12 00:00:00+00:00,117.169998,117.25,115.940002,116.099998,17153600,80.8952901986,80.9505243466,80.0460891654,80.1565519381,17153600,0.0,1.0
SPY,2002-03-13 00:00:00+00:00,116.040001,116.75,115.639999,116.629997,17175300,80.1151294339,80.6053195519,79.8389642174,80.52246833,17175300,0.0,1.0
SPY,2002-03-14 00:00:00+00:00,115.879997,116.43,115.629997,116.040001,11168100,80.004661138,80.3843884833,79.8320587407,80.1151294339,11168100,0.0,1.0
SPY,2002-03-15 00:00:00+00:00,116.650002,116.949997,115.900002,115.970001,21220100,80.7647917397,80.9724988403,80.2455153336,80.2939804392,21220100,0.33098,1.0
SPY,2002-03-18 00:00:00+00:00,116.669998,117.559998,116.099998,117.099998,17548900,80.778636341,81.3948443429,80.3839862724,81.0763548138,17548900,0.0,1.0
SPY,2002-03-19 00:00:00+00:00,117.449997,117.739998,116.82,117.300003,17912000,81.318683111,81.5194706803,80.882493007,81.214831984,17912000,0.0,1.0
SPY,2002-03-20 00:00:00+00:00,115.239998,116.580002,115.190002,116.5,17114500,79.7885493268,80.7163259418,79.7539336692,80.6609350737,17114500,0.0,1.0
SPY,2002-03-21 00:00:00+00:00,115.290001,115.900002,114.120003,115.300003,25846800,79.823169831,80.2455153336,79.0131000223,79.8300949012,25846800,0.0,1.0
SPY,2002-03-22 00:00:00+00:00,115.040001,115.940002,114.699997,115.5,15235400,79.6500776956,80.2732100753,79.4146696221,79.9685665323,15235400,0.0,1.0
SPY,2002-03-25 00:00:00+00:00,113.610001,115.360001,113.300003,115.089996,17499600,78.6599906814,79.8716356289,78.4453578183,79.6846926609,17499600,0.0,1.0
SPY,2002-03-26 00:00:00+00:00,114.269997,115.019997,113.470001,113.519997,19947600,79.1169511493,79.6362275553,78.5630590856,78.5976747432,19947600,0.0,1.0
